sep=,
X,Y,Z
12.6572,-4.90322,41.9016
10.2129,-6.41314,42.491
7.70225,-7.815,42.7683
5.53726,-9.04974,43.2185
2.90659,-10.4837,43.4089
0.428717,-11.6558,43.3909
-2.20659,-13.1115,43.5282
-4.9164,-14.2467,43.5781
-7.64197,-15.1734,43.466
-10.3478,-16.0726,43.3446
-13.0995,-16.742,43.3006
-15.8894,-17.5155,43.3538
-18.6257,-17.9327,43.1624
-21.4939,-18.6429,43.6529
-23.967,-19,43.9832
-26.6337,-19.2793,44.3255
-29.2874,-19.3083,44.6674
-31.7641,-19.1903,44.8465
-33.8989,-18.908,45.3535
-36.1499,-18.4217,45.9223
-38.542,-17.678,46.2688
-40.2965,-17.1433,46.3566
-42.9265,-15.6048,46.3015
-44.5329,-14.6014,46.3478
-46.5823,-13.1651,46.4099
-48.4636,-11.7107,46.188
-49.9496,-10.4835,45.9632
-51.6302,-8.76314,45.5158
-53.2144,-7.00029,45.1398
-54.3595,-5.76586,44.6563
-56.1283,-4.13818,44.1009
-57.3274,-2.22746,43.4074
-58.6488,-0.136883,42.6942
-59.794,2.35824,41.8556
-60.9554,5.10271,40.908
-62.1467,8.43457,39.8563
-63.1991,11.5163,38.8158
-64.2544,14.5024,37.7715
-65.1991,17.4148,36.8082
-66.1494,20.105,35.9871
-66.8232,22.8136,35.2837
-67.2855,25.3333,34.6008
-67.5737,27.4155,33.6208
-68.0759,29.7504,32.5549
-68.5947,31.8803,31.8676
-68.8865,33.8084,31.3848
-69.1079,35.2717,30.6887
-69.2619,37.0116,29.9052
-69.3943,38.5639,29.2147
-69.1532,39.559,28.6943
-68.8931,40.2195,28.1395
-68.5689,40.7439,27.8051
-68.3798,41.2016,27.5768
-68.0781,41.463,27.2738
-67.7287,41.8751,26.8691
-67.1874,42.0095,26.5356
-66.6829,42.2878,26.4305
-66.2716,42.4301,26.4182
-65.9111,42.3172,26.5011
-65.4156,41.9691,26.1166
-65.1433,41.679,25.8738
-64.9816,41.3287,25.5965
-64.5577,40.7371,25.8175
-63.7228,39.9377,25.944
-62.4279,39.0872,25.9628
-60.5532,38.2293,25.8218
-58.5327,37.0425,25.8512
-56.4992,35.7237,25.8519
-54.6092,34.4598,25.3596
-52.8558,33.556,25.1675
-51.5501,32.593,25.1785
-50.7178,31.5078,25.5628
-50.255,30.4261,25.8842
-50.0618,29.3425,26.2302
-49.7505,28.6861,26.4988
-49.3408,28.1016,26.7971
-48.6946,27.3985,27.251
-48.451,26.8633,27.4533
-48.0024,25.8035,27.683
-47.4191,24.341,28.0379
-46.9996,23.3181,28.5894
-46.7504,22.4843,29.0704
-46.7311,21.6214,29.944
-47.0451,20.6182,30.5667
-47.5891,19.7748,31.2287
-48.0404,18.9659,31.9187
-48.8141,18.2873,32.6036
-49.335,17.6081,33.2427
-49.8044,16.9438,34.03
-50.1703,16.1924,34.9922
-50.3856,15.4881,35.7609
-50.4784,14.9311,36.1803
-50.5076,14.139,36.6099
-50.5472,13.8194,37.1982
-50.3101,12.8862,37.7285
-49.6728,11.0455,38.2099
-49.3504,9.36702,38.9404
-49.1506,8.09712,39.5366
