sep=,
X,Y,Z
163.327,44.6147,-109.974
151.177,39.2852,-47.3538
119.971,25.4832,-37.1155
132.163,31.1975,-43.1355
139.012,34.1917,-48.0207
110.413,21.1693,-40.617
110.904,21.8425,-41.3786
112.192,22.4301,-43.1934
113.264,22.318,-44.7515
130.765,30.3224,-50.4532
130.796,30.0762,-50.603
117.689,24.3315,-50.3399
103.246,18.4654,-50.8354
119.94,25.5495,-52.7587
126.938,28.7007,-53.9907
110.208,21.1745,-53.8289
109.523,20.6787,-56.5402
110.409,21.0295,-57.5203
120.562,26.1211,-58.4045
112.675,22.0413,-59.4425
115.122,23.1655,-61.2044
115.848,24.0856,-61.936
136.469,32.9575,-60.7116
144.094,35.9785,-60.0165
136.399,33.0966,-67.5297
137.667,33.2416,-74.0155
141.044,34.8909,-72.3376
141.082,34.8488,-87.314
153.18,39.7506,-36.8892
119.283,23.9286,-36.5567
134.974,31.7977,-44.7362
137.194,32.6841,-46.2375
110.012,20.0662,-40.053
113.745,22.0422,-45.3402
112.753,21.6742,-46.2442
115.305,22.4259,-47.904
131.034,30.0991,-50.6533
130.106,29.3954,-51.3124
129.523,28.8223,-51.8422
85.5391,8.5879,-51.2718
127.298,28.238,-54.4177
133.005,30.4066,-55.0053
123.048,26.2631,-55.9079
120.875,24.8158,-56.7353
110.965,21.1778,-57.9892
117.907,23.6508,-58.4118
112.967,21.9315,-59.8167
114.351,22.6565,-60.8806
120.676,25.1578,-68.2486
131.553,29.9891,-69.9662
134.283,31.0143,-78.1743
141.31,34.5768,-80.2589
150.29,38.5167,-109.053
109.038,18.4419,-35.5079
110.767,18.8927,-37.5866
109.576,18.9718,-39.756
113.394,20.7776,-41.7221
123.853,25.6531,-45.9943
123.984,25.8384,-46.4466
124.056,25.5772,-47.6746
124.157,25.3036,-48.1161
115.371,21.2219,-47.4886
129.675,28.5613,-51.75
124.793,26.1382,-53.605
127.633,27.7351,-54.7827
134.042,30.3366,-56.0006
119.956,23.8222,-57.0166
125.165,26.2992,-58.0922
130.469,28.6123,-62.78
130.65,28.7412,-63.4751
130.515,28.5808,-63.7075
136.73,31.6976,-98.8568
147.864,36.9278,-121.132
118.469,22.4494,-36.4657
114.694,19.8451,-41.2738
123.308,24.4351,-45.2141
108.874,17.0899,-43.3298
111.08,18.1524,-44.4518
115.821,21.0975,-46.4792
124.237,24.8822,-49.2861
124.125,24.7685,-49.456
116.987,20.8845,-49.2795
128.486,26.9967,-51.607
127.278,26.0626,-53.7111
128.266,26.5617,-55.0316
128.781,26.7551,-55.776
116.729,20.8794,-56.4067
130.52,27.7081,-60.6243
131.023,27.9543,-61.7044
130.978,28.287,-62.145
129.869,27.8425,-63.5335
135.748,30.3346,-66.1109
137.931,31.6147,-72.3072
132.584,29.3138,-99.3291
151.337,38.3319,-88.1301
149.985,37.3117,-46.0404
108.744,15.2861,-38.8928
123.003,23.2733,-44.5433
108.069,15.8724,-41.9532
119.412,21.0094,-45.7289
111.155,17.1128,-45.2354
124.066,23.4401,-49.4382
119.398,21.5406,-49.8806
127.106,25.7542,-51.7646
126.904,25.5192,-52.856
127.151,25.7717,-53.3074
132.508,27.9812,-54.3367
119.322,21.582,-55.725
129.36,26.8533,-56.6131
129.601,26.922,-57.2399
129.327,26.9155,-57.8175
129.507,27.0498,-58.6089
129.883,27.125,-59.201
130.287,27.3012,-59.9059
136.208,30.2921,-60.5122
131.197,27.6066,-62.6668
129.935,26.9612,-64.1372
141.432,33.0317,-72.0569
140.519,32.4433,-77.2465
142.967,33.5113,-101.119
155.503,40.1915,-118.208
151.375,37.6528,-33.9485
111.959,16.7315,-40.5801
108.451,14.2835,-42.2585
111.334,16.5259,-44.0376
113.372,16.5836,-47.1026
126.633,24.5459,-51.2542
126.42,24.6599,-51.38
136.658,29.7122,-53.517
118.136,19.8456,-53.9632
92.7442,5.97309,-56.4484
127.81,25.0407,-58.1482
116.77,19.3178,-60.7656
128.871,25.1517,-59.8669
144.42,33.9719,-60.0343
130.468,26.0513,-65.3194
130.751,26.1882,-67.3416
130.743,26.719,-70.2949
135.738,29.1856,-96.126
150.002,36.9192,-108.294
156.635,40.7144,-109.574
122.431,21.4756,-43.6506
109.909,13.8589,-41.4153
111.017,14.3457,-43.8272
123.787,21.3691,-49.5444
116.352,17.59,-52.506
115.412,17.3815,-53.8812
118.646,19.2832,-54.6079
133.569,27.6031,-55.5384
126.977,23.7956,-56.8245
127.277,24.145,-59.5295
126.936,23.2301,-61.2523
128.447,24.7608,-61.8751
131.749,26.3056,-62.7195
134.837,27.9902,-64.9997
137.944,29.8065,-70.2779
133.157,27.2246,-73.5269
133.503,27.3697,-74.2489
121.863,19.691,-42.9652
109.779,13.1618,-42.5346
115.285,15.306,-48.8807
114.941,15.2147,-50.979
131.998,25.4611,-53.6062
126.539,22.2546,-53.5912
127.179,22.6605,-55.8509
120.541,19.1403,-61.3276
135.669,27.6842,-59.8805
126.889,22.405,-63.0991
130.696,24.6797,-65.9227
140.594,30.8438,-73.0754
139.78,30.4971,-74.7616
140.571,30.8382,-85.0505
141.599,31.2644,-84.4531
131.707,25.6577,-97.962
130.952,24.7264,-100.226
131.374,25.1421,-100.887
148.635,35.669,-79.5653
149.508,35.4548,-31.4657
149.334,35.6519,-44.979
111.837,12.1096,-49.3734
98.1632,4.5662,-58.5429
117.005,15.4636,-58.4247
128.403,22.6275,-58.4566
120.556,17.7202,-65.1637
133.751,25.5688,-63.7646
141.727,31.1242,-71.8515
130.516,24.0002,-99.3042
131.583,24.9832,-101.273
